City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,viedma,-40.8135,-62.9967,46.35,81,62,13.53,AR,1690336778
1,weno,7.4515,151.8468,82.42,75,89,5.57,FM,1690336779
2,kodiak,57.79,-152.4072,62.11,72,0,11.5,US,1690336779
3,luchenza,-16.0069,35.3095,54.14,96,17,3.33,MW,1690336779
4,portland,45.5234,-122.6762,79.56,45,0,9.22,US,1690336651
5,ust-nera,64.5667,143.2,68.56,51,54,3.44,RU,1690336779
6,daru,-9.0763,143.2092,80.44,65,100,12.91,PG,1690336779
7,qaqortoq,60.7167,-46.0333,42.58,91,87,2.89,GL,1690336779
8,grytviken,-54.2811,-36.5092,26.58,84,76,9.31,GS,1690336780
9,port-aux-francais,-49.35,70.2167,38.48,86,100,27.83,TF,1690336780
10,blackmans bay,-43.0167,147.3167,59.13,64,100,6.93,AU,1690336780
11,thanh pho uong bi,21.0333,106.7833,89.58,64,86,4.83,VN,1690336780
12,geraldton,-28.7667,114.6,57.61,88,75,10.36,AU,1690336780
13,gadzhiyevo,69.2551,33.3362,49.53,95,99,5.95,RU,1690336780
14,mount pearl,47.5166,-52.7813,64.45,89,20,8.05,CA,1690336780
15,waitangi,-43.9535,-176.5597,49.82,96,100,3.0,NZ,1690336781
16,savelugu,9.6244,-0.8253,75.78,87,37,5.06,GH,1690336781
17,conceicao do araguaia,-8.2578,-49.2647,72.63,48,0,2.51,BR,1690336781
18,ilulissat,69.2167,-51.1,36.07,94,52,1.57,GL,1690336781
19,tiksi,71.6872,128.8694,40.86,80,98,7.34,RU,1690336781
20,isafjordur,66.0755,-23.124,43.25,83,69,8.48,IS,1690336781
21,puerto natales,-51.7236,-72.4875,28.74,90,87,5.7,CL,1690336781
22,albany,42.6001,-73.9662,69.03,88,90,4.0,US,1690336782
23,ribeira grande,38.5167,-28.7,69.78,89,10,3.0,PT,1690336782
24,bredasdorp,-34.5322,20.0403,46.99,69,94,3.62,ZA,1690336782
25,keflavik,64.0049,-22.5624,55.31,87,100,9.22,IS,1690336782
26,yellowknife,62.456,-114.3525,77.56,25,75,20.71,CA,1690336782
27,wailua homesteads,22.0669,-159.378,82.83,80,50,5.99,US,1690336782
28,hirara,24.8,125.2833,87.66,79,75,20.71,JP,1690336782
29,shenjiamen,29.9576,122.298,80.44,88,100,11.16,CN,1690336783
30,iqaluit,63.7506,-68.5145,44.33,87,100,2.3,CA,1690336783
31,edinburgh of the seven seas,-37.0676,-12.3116,52.27,55,100,20.6,SH,1690336783
32,kingston,17.997,-76.7936,86.95,79,20,5.75,JM,1690336587
33,port augusta,-32.5,137.7667,62.65,37,0,6.62,AU,1690336783
34,coutances,49.05,-1.4333,51.33,90,10,4.74,FR,1690336783
35,atafu village,-8.5421,-172.5159,83.93,71,6,17.56,TK,1690336784
36,tabou,4.423,-7.3528,75.76,91,100,6.89,CI,1690336784
37,ballina,-28.8667,153.5667,65.1,67,70,8.21,AU,1690336784
38,codrington,-38.2667,141.9667,54.82,71,100,8.7,AU,1690336784
39,invercargill,-46.4,168.35,47.03,72,85,11.7,NZ,1690336784
40,san patricio,28.017,-97.5169,87.19,67,0,12.68,US,1690336784
41,badger,64.8,-147.5333,84.11,51,75,3.44,US,1690336785
42,nalut,30.3333,10.85,88.52,13,0,6.71,LY,1690336785
43,papatowai,-46.5619,169.4708,45.82,76,52,12.95,NZ,1690336785
44,mzimba,-11.9,33.6,53.11,76,12,7.02,MW,1690336785
45,talnakh,69.4865,88.3972,69.21,52,0,1.12,RU,1690336785
46,sofo-birnin-gwari,11.0154,6.7804,70.32,88,20,2.82,NG,1690336785
47,tochio-honcho,37.4667,139.0,90.55,64,59,1.99,JP,1690336785
48,beloyarskiy,63.7119,66.6722,61.23,96,100,2.08,RU,1690336786
49,bethel,41.3712,-73.414,68.2,89,92,3.22,US,1690336786
50,barabinsk,55.3571,78.357,67.93,65,13,8.23,RU,1690336786
51,udachny,66.4167,112.4,66.45,67,100,11.92,RU,1690336787
52,tolanaro,-25.0319,46.9987,68.07,60,40,9.22,MG,1690336787
53,richards bay,-28.783,32.0377,61.86,78,82,13.91,ZA,1690336787
54,tierp,60.3427,17.5181,57.97,98,22,4.88,SE,1690336787
55,okha,53.5739,142.9478,61.18,89,97,14.45,RU,1690336787
56,cuatro cienegas de carranza,26.9833,-102.0833,89.56,29,0,17.25,MX,1690336787
57,nizhniy odes,63.6445,54.856,60.1,74,72,3.09,RU,1690336788
58,kone,-21.0595,164.8658,75.6,41,0,15.03,NC,1690336788
59,hamilton,39.1834,-84.5333,79.65,72,0,4.61,US,1690336667
60,nova sintra,14.8667,-24.7167,72.43,87,70,13.24,CV,1690336788
